time,position,velocity,accel x,accel y,accel z,mag x, mag y,mag z,gyro x,gyro y,gyro z
6.197,27.06023718,1.246924911,0.020019531,-0.017456055,-1.839477539,-0.342895508,-0.350585938,-0.482910156,3.170166016,-32.03811646,3.282318115
6.244,26.73679871,1.246924911,-0.014892578,-0.049194336,-1.419799805,-0.34564209,-0.335754395,-0.514099121,1.951446533,-32.92037964,1.188812256
6.323,26.17195327,1.246924911,-0.02331543,0.062988281,-1.69128418,-0.314147949,-0.357666016,-0.540283203,5.682373047,-33.12225342,4.224395752
6.487,24.9453871,1.246924911,0.010131836,0.12890625,-1.652099609,-0.289489746,-0.401855469,-0.381469727,-0.88973999,-33.5559082,0.396270752
6.508,24.78523038,1.246924911,-0.080810547,-0.442993164,-1.799804688,-0.306152344,-0.399169922,-0.470336914,-2.721557617,-34.52041626,-0.530853271
6.553,24.44304185,1.246924911,0.052490234,-0.027954102,-1.437988281,-0.330627441,-0.449707031,-0.433837891,4.67300415,-40.69625854,1.181335449
6.681,23.46882019,1.246924911,0.006347656,-0.01574707,-1.481689453,-0.190307617,-0.483032227,-0.516174316,2.631835938,-9.368438721,3.431854248
6.732,23.08366279,1.246924911,0.178466797,0.175537109,-0.046264648,-0.138977051,-0.42791748,-0.449157715,1.816864014,-1.368255615,3.110351563
6.786,22.67975533,1.246924911,-0.129760742,-0.44934082,-1.19543457,-0.236938477,-0.444213867,-0.358764648,-3.379516602,5.637512207,1.196289063
6.844,22.24928529,1.246924911,-0.031982422,-0.294799805,-1.332641602,-0.231262207,-0.460754395,-0.497375488,1.054229736,5.151519775,2.168273926
6.869,22.06022223,1.246924911,-0.067871094,0.012451172,-1.236816406,-0.153564453,-0.470581055,-0.506774902,1.293487549,8.261871338,2.497253418
6.912,21.74225252,1.246924911,-0.098632813,0.236694336,-0.493164063,-0.142028809,-0.391052246,-0.362915039,2.377624512,5.383300781,1.727142334
6.961,21.37584518,1.246924911,-0.092163086,-0.086914063,-1.421508789,-0.12310791,-0.340270996,-0.248718262,4.119720459,8.291778564,2.504730225
6.983,21.20865718,1.246924911,0.099975586,0.007324219,-0.239379883,-0.160644531,-0.297485352,-0.260253906,3.656158447,6.527252197,1.943969727
7.036,20.81724976,1.246924911,-0.029296875,-0.23046875,-0.486938477,-0.235168457,-0.176208496,-0.166442871,2.579498291,4.433746338,1.8019104
7.086,20.43990488,1.246924911,-0.022705078,-0.093261719,-1.035888672,-0.194763184,-0.307250977,-0.23059082,5.308532715,3.798217773,1.861724854
7.138,20.05630998,1.246924911,-0.010375977,-0.159179688,-0.42175293,-0.354431152,-0.366088867,-0.317687988,6.340332031,5.87677002,2.220611572
7.198,19.61412116,1.246924911,-0.00793457,-0.122924805,-0.982543945,-0.375854492,-0.292297363,-0.600280762,2.063598633,6.916046143,2.213134766
7.272,19.06568202,1.246924911,-0.017333984,-0.022705078,-1.022094727,-0.284729004,-0.309936523,-0.478149414,3.312225342,7.708587646,3.573913574
7.316,18.73521228,1.246924911,-0.099975586,0.009277344,-0.994628906,-0.39050293,-0.300415039,-0.697998047,1.435546875,6.624450684,2.250518799
7.342,18.54224295,1.246924911,-0.053466797,-0.177978516,-0.912719727,-0.338989258,-0.307800293,-0.713256836,2.265472412,6.235656738,2.317810059
7.389,18.20005443,1.246924911,-0.042114258,-0.058349609,-0.713500977,-0.333251953,-0.352050781,-0.717102051,1.988830566,6.729125977,1.345825195
7.444,17.78833445,1.246924911,-0.039916992,0.382202148,-1.339599609,-0.235046387,-0.450866699,-0.737121582,-0.657958984,5.659942627,3.058013916
7.495,17.41333333,1.246924911,0.083007813,-0.278808594,-0.975097656,-0.150634766,-0.385192871,-0.737365723,2.624359131,3.312225342,1.143951416
7.632,16.4023928,1.246924911,-0.045532227,-0.307373047,-1.407592773,0.056945801,-0.323059082,-0.36328125,2.130889893,6.624450684,1.510314941
7.675,16.08676686,1.246924911,-0.026611328,-0.083007813,-0.979125977,-0.079284668,-0.303222656,-0.174072266,1.465454102,5.360870361,2.041168213
7.698,15.92192262,1.246924911,-0.127319336,-0.117553711,-1.526367188,-0.145141602,-0.325683594,-0.20324707,2.190704346,7.469329834,1.943969727
7.746,15.56410905,1.246924911,0.064575195,0.086303711,-0.776489258,-0.285583496,-0.307922363,-0.344238281,2.579498291,5.495452881,2.429962158
7.799,15.17660789,1.246924911,-0.118652344,-0.177001953,-1.337646484,-0.185302734,-0.321166992,-0.333435059,2.654266357,6.415100098,2.302856445
7.849,14.80785679,1.246924911,0.063232422,-0.020263672,-0.94128418,-0.312255859,-0.345031738,-0.328186035,2.534637451,4.69543457,1.622467041
7.877,14.60551243,1.246924911,0.021362305,-0.018798828,-0.864501953,-0.333984375,-0.305541992,-0.441040039,0.381317139,4.448699951,0.97946167
7.931,14.20629249,1.246924911,-0.073974609,-0.116577148,-1.279296875,-0.196228027,-0.331726074,-0.466918945,0.276641846,4.448699951,0.343933105
7.988,13.79066624,1.246924911,-0.02355957,-0.212280273,-1.259765625,-0.11138916,-0.323608398,-0.403686523,1.727142334,5.951538086,0.351409912
8.035,13.44769647,1.246924911,-0.036376953,-0.137451172,-0.633789063,-0.137756348,-0.243225098,-0.11505127,3.566436768,7.245025635,1.450500488
8.056,13.29378976,1.246924911,-0.100585938,-0.075927734,-1.287841797,-0.250305176,-0.243225098,-0.178710938,3.259887695,6.58706665,0.837402344
8.106,12.93597619,1.246924911,-0.077026367,0.22644043,-0.972290039,-0.329223633,-0.261962891,-0.451904297,4.373931885,7.155303955,2.145843506
8.152,12.59456892,1.246924911,-0.103637695,0.180175781,-1.063964844,-0.249755859,-0.204284668,-0.579406738,0.201873779,5.076751709,3.476715088
8.283,11.64612858,1.246924911,-0.168579102,0.069213867,-1.320800781,-0.210571289,-0.262756348,-0.405029297,1.929016113,10.66940308,3.319702148
8.342,11.22503357,1.246924911,-0.016357422,-0.426147461,-1.842895508,-0.206176758,-0.325744629,-0.376831055,2.676696777,9.136657715,2.818756104
8.396,10.83753241,1.246924911,0.111816406,-0.149169922,-1.063842773,-0.211914063,-0.333679199,-0.415344238,3.521575928,5.136566162,1.786956787
8.416,10.68675071,1.246924911,-0.086303711,0.262084961,-1.126098633,-0.200500488,-0.318603516,-0.48828125,2.89352417,4.904785156,2.265472412
8.461,10.36253099,1.246924911,-0.094604492,0.036987305,-0.26171875,-0.152587891,-0.329467773,-0.368713379,3.603820801,5.158996582,2.056121826
8.51,10.0133112,1.246924911,-0.153198242,-0.255126953,-1.427001953,-0.215942383,-0.379821777,-0.528503418,0.82244873,5.734710693,1.77947998
8.562,9.634403814,1.246924911,-0.055419922,-0.116699219,-0.466430664,-0.17565918,-0.414733887,-0.449768066,1.562652588,4.78515625,1.106567383
8.589,9.440653234,1.246924911,0.007080078,-0.129394531,-0.125488281,-0.148742676,-0.434997559,-0.42791748,0.545806885,6.003875732,2.056121826
8.64,9.075808393,1.246924911,-0.142089844,-0.107666016,-1.263305664,-0.016723633,-0.375793457,-0.158569336,-2.482299805,6.459960938,1.353302002
8.694,8.687525982,1.246924911,-0.017089844,-0.122436523,-1.233154297,-0.223083496,-0.427001953,-0.048583984,0.485992432,6.901092529,3.087921143
8.752,8.276587253,1.246924911,0.021240234,-0.099365234,-0.95703125,-0.361206055,-0.374694824,-0.234130859,-1.86920166,6.430053711,3.880462646
8.82,7.789867047,1.246924911,-0.084350586,-0.367431641,-0.245727539,-0.419189453,-0.333251953,-0.731140137,1.398162842,5.203857422,1.906585693
8.869,7.435959739,1.246924911,-0.083862305,-0.174438477,-1.153564453,-0.12677002,-0.314758301,-0.497497559,1.106567383,6.848754883,1.614990234
8.891,7.277365515,1.246924911,-0.14465332,-0.132324219,-0.473266602,-0.145080566,-0.325622559,-0.389709473,1.435546875,5.547790527,1.652374268
8.944,6.90470815,1.246924911,-0.041748047,-0.177490234,-1.059082031,-0.286010742,-0.311340332,-0.508605957,2.639312744,6.370239258,2.407531738
8.994,6.546113328,1.246924911,-0.002319336,0.084350586,-0.771972656,-0.195007324,-0.237854004,-0.548950195,1.929016113,5.398254395,2.0262146
9.046,6.178924729,1.246924911,-0.07421875,-0.327514648,-0.789428711,0.024414063,-0.330871582,-0.303955078,-0.471038818,7.439422607,0.942077637
9.106,5.755485963,1.246924911,-0.036621094,-0.221679688,-1.467407227,-0.041809082,-0.408447266,-0.082702637,-0.523376465,6.086120605,1.031799316
9.18,5.232046898,1.246924911,-0.021606445,0.098266602,-0.876342773,-0.290527344,-0.374755859,-0.02166748,0.082244873,4.979553223,0.149536133
9.224,4.920327215,1.246924911,1.98815918,-0.160522461,-1.493164063,-0.385009766,-0.37286377,-0.092773438,3.521575928,8.321685791,0.515899658
9.251,4.750014206,1.246924911,0.907104492,-0.034179688,-1.032226563,-0.424255371,-0.352600098,-0.142822266,2.041168213,6.781463623,1.487884521
9.297,4.470325869,1.246924911,1.225219727,-0.131713867,-1.32800293,-0.609375,-0.41583252,-0.403076172,2.564544678,5.525360107,2.459869385
9.353,4.165637458,1.246924911,1.014282227,-0.064331055,-0.96875,-0.675048828,-0.463806152,-0.923461914,1.607513428,6.056213379,1.929016113
9.403,3.923449234,1.246924911,1.267089844,-0.059570313,-0.90625,-0.553222656,-0.44152832,-1.007751465,2.325286865,6.355285645,1.906585693
9.458,3.696886056,1.246924911,1.183227539,-0.191650391,-1.009399414,-0.387451172,-0.382202148,-1.108032227,2.654266357,5.87677002,2.609405518
9.487,3.588291982,1.246924911,1.164550781,-0.036987305,-0.72668457,-0.313232422,-0.338378906,-1.114074707,3.775787354,5.099182129,3.200073242
9.583,3.31016615,1.246924911,1.01965332,-0.083251953,-1.005859375,-0.091064453,-0.176696777,-0.960998535,0.523376465,7.267456055,1.951446533
9.757,3.066415421,1.246924911,1.045043945,-0.095092773,-1.065917969,0.017211914,-0.133850098,-0.72479248,1.547698975,5.80947876,1.89163208
9.785,3.057040393,1.246924911,1.03918457,-0.135620117,-0.951782227,0.015380859,-0.134277344,-0.698242188,2.063598633,5.996398926,1.8019104
9.809,3.055477888,1.246924911,1.01159668,-0.119506836,-1.013183594,0.012023926,-0.13671875,-0.68359375,1.9140625,6.474914551,1.906585693
9.84,3.062509159,1.246924911,1.087768555,-0.092529297,-0.976928711,0.013244629,-0.135620117,-0.69519043,1.555175781,6.198272705,1.9140625
9.897,3.104696785,1.246924911,1.080810547,-0.135742188,-1.037475586,0.020385742,-0.127624512,-0.684265137,2.063598633,6.108551025,2.213134766
9.943,3.167196972,1.246924911,1.088989258,-0.064208984,-0.985839844,0.021911621,-0.12677002,-0.71697998,1.973876953,6.063690186,2.310333252
9.965,3.204697084,1.246924911,1.076049805,-0.079956055,-1.083984375,0.008056641,-0.130737305,-0.816955566,2.086029053,5.480499268,2.549591064
10.014,3.307822393,1.246924911,1.005004883,-0.084350586,-0.885375977,-0.059997559,-0.167358398,-0.953430176,0.201873779,5.71975708,2.788848877
10.061,3.43047901,1.246924911,0.989501953,-0.143798828,-1.032592773,-0.171142578,-0.235717773,-1.004394531,2.280426025,4.912261963,2.504730225
10.115,3.602354524,1.246924911,0.916259766,-0.030517578,-1.125610352,-0.316589355,-0.344848633,-1.085998535,0.829925537,6.130981445,1.861724854
10.139,3.685948524,1.246924911,1.038085938,-0.026367188,-0.669433594,-0.363037109,-0.374267578,-1.095336914,2.415008545,6.018829346,2.168273926
10.191,3.889855383,1.246924911,0.836669922,-0.153930664,-1.041137695,-0.498413086,-0.422668457,-1.088500977,1.502838135,5.973968506,1.906585693
10.304,4.407825683,1.246924911,0.691894531,-0.169555664,-0.875854492,-0.661499023,-0.432556152,-0.567993164,1.652374268,6.602020264,2.198181152
10.325,4.516419757,1.246924911,0.618896484,-0.026733398,-1.133789063,-0.58795166,-0.404785156,-0.435546875,0.06729126,6.579589844,2.370147705
10.369,4.757045477,1.246924911,0.593017578,-0.140136719,-0.765991211,-0.438720703,-0.363220215,-0.21875,0.538330078,5.637512207,2.018737793
10.418,5.034390056,1.246924911,0.390014648,0.048828125,-1.448242188,-0.373840332,-0.376464844,-0.086608887,1.308441162,6.736602783,2.295379639
